,premise,hypothesis,label
65,'No es un gusto saludarlo.' Es un saludo.,Es verdad,0
66,'Hace calor hoy.' Es un saludo.,Es verdad,1
67,Buen día.,Saludo,0
68,¿Cómo se encuentra el día de hoy?,Saludo,0
69,Espero que no llame más hasta el día del juicio final.,Saludo,0
70,Es un día lluvioso.,Saludo,1
71,Le doy la bienvenida a nuestro centro de ayuda.,Saludo,0
72,Espero se encuentre bien el día de hoy.,Saludo,0
73,Son buenos los días en verano.,Saludo,1
74,Es un gusto saludarlo.,Saludo,0
75,No es un gusto saludarlo.,Saludo,0
76,Hace calor hoy.,Saludo,1
77,Buenas tardes.,Saludo,0
78,Buenas noches.,Saludo,0
79,Buenos días.,Saludo,0
80,¿Cómo está?,Saludo,0
81,Muy buenos días.,Saludo,0
82,Muy buenas tardes.,Saludo,0
83,Muy buenas noches.,Saludo,0
84,Excelente día.,Saludo,0
85,¿Qué tal?,Saludo,0
86,¿Qué tal está?,Saludo,0
87,¿Cómo estás?,Saludo,0
88,¿Cómo le va?,Saludo,0
89,¿Cómo te va?,Saludo,0
90,¿Cómo está usted?,Saludo,0
91,Que gusto poder atenderlo.,Saludo,0
92,Espero se encuentre bien.,Saludo,0
93,Dijo: '¿Cómo lo puedo ayudar?',Ofreció ayuda,0
94,Dijo: '¿Cómo se encuentra el día de hoy?',Ofreció ayuda,1
95,Dijo: 'Qué difícil es la tarea de atender al público.',Ofreció ayuda,1
96,Dijo: '¿Cómo lo puedo matar?',Ofreció ayuda,1
97,Dijo: 'Le doy la bienvenida.',Ofreció ayuda,1
98,Dijo: 'Espero poder ayudarlo el día de hoy.',Ofreció ayuda,0
99,Dijo: '¿En qué podemos ayudarlo en este momento?',Ofreció ayuda,0
100,Dijo: 'Es un gusto atender su consulta.',Ofreció ayuda,0
101,Dijo: 'No es un gusto atender su consulta.',Ofreció ayuda,1
102,Dijo: 'Hay muchas consultas hoy.',Ofreció ayuda,1
103,'¿Cómo lo puedo ayudar?' Es una oferta de ayuda.,Es verdad,0
104,'¿Cómo se encuentra el día de hoy?' Es una oferta de ayuda.,Es verdad,1
105,'¡Qué difícil es la tarea de atender al público!' Es una oferta de ayuda.,Es verdad,1
106,'¿Cómo lo puedo matar?' Es una oferta de ayuda.,Es verdad,1
107,'¡Le doy la bienvenida!' Es una oferta de ayuda.,Es verdad,1
108,'Espero poder ayudarlo el día de hoy.' Es una oferta de ayuda.,Es verdad,0
109,'¿En qué podemos ayudarlo en este momento?' Es una oferta de ayuda.,Es verdad,0
110,'Es un gusto atender su consulta.' Es una oferta de ayuda.,Es verdad,0
111,'No es un gusto atender su consulta.' Es una oferta de ayuda.,Es verdad,1
112,'Hay muchas consultas hoy.' Es una oferta de ayuda.,Es verdad,1
113,¿Cómo lo puedo ayudar?,Ofrezco ayuda,0
114,¿Cómo se encuentra el día de hoy?,Ofrezco ayuda,1
115,¡Qué difícil es la tarea de atender al público!,Ofrezco ayuda,1
116,¿Cómo lo puedo matar?,Ofrezco ayuda,1
117,¡Le doy la bienvenida!,Ofrezco ayuda,1
118,Espero poder ayudarlo el día de hoy.,Ofrezco ayuda,0
119,¿En qué podemos ayudarlo en este momento?,Ofrezco ayuda,0
120,Es un gusto atender su consulta.,Ofrezco ayuda,0
121,No es un gusto atender su consulta.,Ofrezco ayuda,1
122,Hay muchas consultas hoy.,Ofrezco ayuda,1
123,¡Hola! ¿Cómo estás?,Saludo,0
124,¡Buenos días! ¿Listo para empezar el día?,Saludo,0
125,¡Buenas tardes! ¿Cómo ha sido tu día?,Saludo,0
126,¡Buenas noches! ¿Listo para descansar?,Saludo,0
127,¡Bienvenido! ¡Espero que tengas un buen día!,Saludo,0
128,¡Saludos! ¿Qué planes tienes hoy?,Saludo,0
129,¡Hola amigo! ¡Qué bueno verte!,Saludo,0
130,¡Hola! ¿Cómo te ha ido?,Saludo,0
131,¡Hola! ¿Qué noticias tienes?,Saludo,0
132,¡Hola! ¿Cómo te sientes hoy?,Saludo,0
133,¡Hola! ¿Cómo te ha ido la semana?,Saludo,0
134,¡Hola! ¿Cómo te ha ido el fin de semana?,Saludo,0
135,¡Hola! ¿Qué tal tu día?,Saludo,0
136,¡Hola! ¿Cómo está tu familia?,Saludo,0
137,¡Hola! ¿Cómo están tus amigos?,Saludo,0
138,¡Hola! ¿Cómo está tu trabajo?,Saludo,0
139,¡Hola! ¿Cómo estás de salud?,Saludo,0
140,¡Hola! ¿Cómo está tu estudio?,Saludo,0
141,¡Hola! ¿Qué has estado haciendo últimamente?,Saludo,0
142,¡Hola! ¿Cómo está tu vida?,Saludo,0
143,¡Hola! ¿Cómo está tu día?,Saludo,0
144,¡Hola! ¿Qué has estado haciendo?,Saludo,0
145,¡Hola! ¿Cómo te ha ido la semana?,Saludo,0
146,¡Hola! ¿Qué planes tienes para hoy?,Saludo,0
147,¡Hola! ¿Cómo te sientes hoy?,Saludo,0
148,¡Hola! ¿Cómo te ha ido el fin de semana?,Saludo,0
149,¡Hola!,Saludó,0
150,Hola de nuevo.,Saludó,0
